/*
Field Name: Language
Description: Select Your Primary Language
Author: Justin Ball
URI: http://www.justinball.com
Version: 1.0
Types: multicheckbox,radio,selectbox,multiselectbox
*/
English,English
Afar,магIарул мацI
Abkhazian,бызшәа
Afrikaans,Afrikaans
Amharic,አማርኛ
Arabic,العربية
Assamese,অসমিয়া
Aymara,Aymara
Azerbaijani,Azəri Türkçəsi
Bashkir,Bashkir
Belarussian,Беларускі
Bulgarian,Български
Bihari,Bihari
Bislama,Bislama
Bengali,বাংলা
Tibetan,བོད་སྐད་
Bosnian,Bosanski
Breton,Brezhoneg
Catalan,Català
Corsican,Corsu
Czech,Čeština
Welsh,Cymraeg
Danish,Dansk
German,Deutsch
Indian Bhutani,Bhutani
Greek,Ελληνικά
Esperanto,Esperanto
Spanish,Español
Estonian,Eesti
Basque,Euskara
Persian,فارسی
Finnish,Suomi
Fiji,Fiji
Faroese,Føroyska
French,Français
Frisian,Frysk
Irish Gaelic,Gaeilge
Scottish Gaelic,Gàidhlig
Galician,Galego
Guarani,Guarani
Gujarati,ગુજરાતી
Manx Gaelic,Gaelg
Hausa,هَوُس
Hebrew,עברית
Hindi,हिंदी
Croatian,Hrvatski
Hungarian,Magyar
Armenian,Հայերէն
Interlingua,Interlingua
Indonesian,Bahasa Indonesia
Interlingue,Interlingue
Inupiak,Inupiak
Icelandic,Íslenska
Italian,Italiano
Inuktitut,ᐃᓄᒃᑎᑐᑦ
Japanese,日本語
Javanese,Javanese
Georgian,ქართული
Kazakh,ﻗﺎﺯﺍﻗﺸﺎ
Greenlandic,Greenlandic
Cambodian/Khmer,ខ្មែរ
Kannada,ಕನ್ನಡ
Korean,한국어
Kashmiri,काऽशुर
Kurdish,Kurdí
Cornish,Kernewek
Kirghiz,Кыргыз
Latin,Latin
Luxemburgish,Lëtzebuergesch
Limburgish,Limburgs
Lingala,Lingala
Laotian,ພາສາລາວ
Lithuanian,Lietuviskai
Latvian,Latviešu
Madagascarian,Malagasy
Maori,Maori
Macedonian,Македонски
Malayalam,മലയാളം
Mongolian,Монгол
Moldavian,Moldavian
Marathi,मराठी
Malay,Bahasa Melayu
Maltese,Malti
Burmese,Burmese
Nauruan,Nauru
Nepali,नेपाली
Dutch,Nederlands
Norwegian,Norsk
Nynorsk,Nynorsk
Occitan,Occitan
Oromo,Oromo
Oriya,ଓଡ଼ିଆ
Punjabi,ਪੰਜਾਬੀ
Polish,Polski
Pashto,پښتو
Portuguese,Português
Quechua,Quechua
Rhaeto-Romance,Rhaeto-Romance
Kirundi,Kirundi
Romanian,Română
Russian,Русский
Kiyarwanda,Kiyarwanda
Sanskrit,संस्कृत
Sindhi,Sindhi
Northern Sámi,Northern Sámi
Sangho,Sangho
Serbo-Croatian,Serbo-Croatian
Singhalese,Singhalese
Slovak,Slovenčina
Slovenian,Slovenščina
Samoan,Samoan
Shona,Shona
Somali,Somali
Albanian,Shqip
Serbian,српски
Siswati,Siswati
Sesotho,Sesotho
Sudanese,Sudanese
Swedish,Svenska
Swahili,Swahili
Tamil,தமிழ
Telugu,తెలుగు
Tadjik,Тоҷики
Thai,ไทย
Tigrinya,ትግርኛ
Turkmen,түркmенче
Tagalog,Tagalog
Setswana,Setswana
Tonga,Tonga
Turkish,Türkçe
Tsonga,Tsonga
Tatar,татарча
Twi,Twi
Uigur,Uigur
Ukrainian,Українська
Urdu,اردو
Uzbek,Ўзбекча
Vietnamese,Tiếng Việt
Volapük,Volapük
Walloon,Walon
Wolof,Wolof
Xhosa,isiXhosa
Yiddish,ײִדיש
Yorouba,Yorùbá
Zhuang,Zhuang
Chinese - Traditional,zh-HK,簡體中文
Chinese - Simplified,zh-CN,简体中文
Zulu,isiZulu
